mrank,name,year
1,Estella Warren,2000
2,Mena Suvari,2000
3,Kim Smith,2000
4,Christina Aguilera,2000
5,Shannon Elizabeth,2000
6,Gisele Bundchen,2000
7,Amanda Peet,2000
8,Jessica Alba,2000
9,Thandie Newton,2000
10,Piper Parabo,2000
11,Rachael Leigh Cook,2000
12,Virginie Ledoyen,2000
13,Reese Witherspoon,2000
14,Susan Ward,2000
15,Penelope Cruz,2000
16,Charisma Carpenter,2000
17,Lucy Liu,2000
18,Jodi Lyn O'Keefe,2000
19,Kate Hudson,2000
20,Amy Smart,2000
21,Marley Shelton,2000
22,China Chow,2000
23,Izabella Miko,2000
24,Tara Reid,2000
25,Laetitia Casta,2000
26,Kristy Swanson,2000
27,Melissa Joan Hart,2000
28,Julia Stiles,2000
29,Nichole Robinson,2000
30,Jessica Biel,2000
31,Thora Birch,2000
32,Lee Lee Sobieski,2000
33,Yamila-Diaz Rahi,2000
34,Leslie Bibb,2000
35,Michael Michele,2000
36,Laura Prepon,2000
37,Jordana Brewster,2000
38,Ana Beatriz Barros,2000
39,Samantha Mathis,2000
40,Kirsten Dunst,2000
41,Aaliyah,2000
42,Melania Knauss,2000
43,Jessica Simpson,2000
44,Mia Kirshner,2000
45,Jenny McCarthy,2000
46,Vinessa Shaw,2000
47,Coco Lee,2000
48,Samantha Morton,2000
49,Connie Nielsen,2000
50,Alice Dodd,2000
51,Shri Appleby,2000
52,Maria Bello,2000
53,Jennifer O'Dell,2000
54,Ananda Lewis,2000
55,Esther Canadas,2000
56,Ana Paula Lemes,2000
57,Simone Mutherties,2000
58,Tamala Jones,2000
59,Robin Tunney,2000
60,Anna Friel,2000
61,Ehrinn Cummings,2000
62,Guilianna Ramirez,2000
63,Britney Spears,2000
64,Lori Heuring,2000
65,Brittany Daniel,2000
66,Anna Kournikova,2000
67,Alecia Elliott,2000
68,Adriana Lima,2000
69,Lorri Bagley,2000
70,Jaime King,2000
71,Leonor Varela,2000
72,Alicia Witt,2000
73,Charli Baltimore,2000
74,Hilary Swank,2000
75,Marla Sokoloff,2000
76,Portia de Rossi,2000
77,Foxy Brown,2000
78,Dominique Swain,2000
79,Rosario Dawson,2000
80,Eliza Dushku,2000
81,Tricia Vessey,2000
82,Radha Mitchell,2000
83,Sarah Wynter,2000
84,Chloe Sevigny,2000
85,Kate Beckinsale,2000
86,Rhona Mitra,2000
87,Georgianna Robertson,2000
88,Bijou Phillips,2000
89,Natalie Imbruglia,2000
90,Lisa Marie,2000
91,Cameron Richardson,2000
92,Lil' Kim,2000
93,Brittany Murphy,2000
94,Marisa Coughlan,2000
95,Sarah Polley,2000
96,Marika Domincyzx,2000
97,Mariah O'Brien,2000
98,Amber Valletta,2000
99,Katherine Heigl,2000
100,Jaime Pressly,2000
1,Jessica Alba,2001
2,Kirsten Dunst,2001
3,Kate Hudson,2001
4,Beyonce,2001
5,Gisele Bundchen,2001
6,Tara Reid,2001
7,Britney Spears,2001
8,Estella Warren,2001
9,Mena Suvari,2001
10,Eliza Dushku,2001
11,Kim Smith,2001
12,Christina Aguilera,2001
13,Amanda Peet,2001
14,Aaliyah,2001
15,Adriana Lima,2001
16,Julia Stiles,2001
17,Ali Larter,2001
18,Yamila-Diaz Rahi,2001
19,Jaime King,2001
20,Marley Shelton,2001
21,Laura Prepon,2001
22,Rachelle Weisz,2001
23,Rosario Dawson,2001
24,Garcelle Beauvais,2001
25,Mandy Moore,2001
26,Marisa Coughlan,2001
27,Monet Mazur,2001
28,Shannyn Sossamon,2001
29,Rachael Leigh Cook,2001
30,Jordana Brewster,2001
31,Lee Lee Sobieski,2001
32,Michelle Rodriguez,2001
33,Shannon Elizabeth,2001
34,Ziyi Zhang,2001
35,Brooke Burke,2001
36,Erika Christensen,2001
37,Sofia Vergara,2001
38,Monica Potter,2001
39,Kate Beckinsale,2001
40,Molly Sims,2001
41,Roselyn Sanchez,2001
42,Drea de Matteo,2001
43,Josie Maran,2001
44,Monica Bellucci,2001
45,Patricia Velasquez,2001
46,Rhona Mitra,2001
47,Magdalena,2001
48,Izabella Miko,2001
49,Shakara Ledard,2001
50,Tessie Santiago,2001
51,Emmanuelle Chriqui,2001
52,Izabella Scorupco,2001
53,Jessica Simpson,2001
54,China Chow,2001
55,Summer Altice,2001
56,Michelle Behennah,2001
57,Leslie Bibb,2001
58,Colleen Haskell,2001
59,Carla Gugino,2001
60,Monica Keena,2001
61,Amanda Detmer,2001
62,Mila Kunis,2001
63,Amanda Marcum,2001
64,Alicia Witt,2001
65,Mia Kirshner,2001
66,Lujan Fernandez,2001
67,Mia Maestro,2001
68,Sanaa Lathan,2001
69,Anna Paquin,2001
70,Georgina Grenville,2001
71,Megan Ewing,2001
72,Jessica Pare,2001
73,Sarah Wynter,2001
74,Marla Sokoloff,2001
75,Nelly Furtado,2001
76,Vitamin C,2001
77,Jennifer Gimenez,2001
78,Brittany Daniel,2001
79,Kate Groombridge,2001
80,Carol Grow,2001
81,Robin Tunney,2001
82,Samantha Mumba,2001
83,Scarlett Chorvat,2001
84,Xenia Seeberg,2001
85,Thora Birch,2001
86,Sara Spraker,2001
87,Aki,2001
88,Krista Allen,2001
89,Melissa George,2001
90,Bridget Moynahan,2001
91,Jolene Blalock,2001
92,Cameron Richardson,2001
93,Ana Beatriz Barros,2001
94,Tatiana Zavialova,2001
95,Ashley Tappin,2001
96,Erica Leerhsen,2001
97,Jessica Cauffiel,2001
98,Majandra Delfino,2001
99,Rachel Blanchard,2001
100,Nichole Robinson,2001
1,Jennifer Garner,2002
2,Kirsten Dunst,2002
3,Beyonce,2002
4,Tara Reid,2002
5,Jessica Alba,2002
6,Gisele Bundchen,2002
7,Halle Berry,2002
8,Christina Aguilera,2002
9,Monica Bellucci,2002
10,Jolene Blalock,2002
11,Leonor Varela,2002
12,Alicia Keys,2002
13,Eliza Dushku,2002
14,Megan Ewing,2002
15,Shakira,2002
16,Sarah Michelle Gellar,2002
17,Brittany Murphy,2002
18,Kelly Hu,2002
19,Rosario Dawson,2002
20,Jessica Simpson,2002
21,Asia Argento,2002
22,Mandy Moore,2002
23,Sofia Vergara,2002
24,Jamie-Lynn Sigler,2002
25,Amanda Peet,2002
26,Naomi Watts,2002
27,Summer Altice,2002
28,Kim Smith,2002
29,Lee Lee Sobieski,2002
30,Jaime Pressly,2002
31,Samantha Mumba,2002
32,Laura Harring,2002
33,Shannyn Sossamon,2002
34,Michelle Rodriguez,2002
35,Jordana Brewster,2002
36,Susan Ward,2002
37,Brooke Burke,2002
38,Carla Gugino,2002
39,Ali Larter,2002
40,Izabella Scorupco,2002
41,Lil' Kim,2002
42,Teri Polo,2002
43,Mia Kirshner,2002
44,Kasey Chambers,2002
45,Radha Mitchell,2002
46,Gina Phillips,2002
47,Lauren German,2002
48,Jill Arrington,2002
49,Roselyn Sanchez,2002
50,Laura Prepon,2002
51,Eve,2002
52,Gabrielle Union,2002
53,Kylie Bax,2002
54,Eva Mendes,2002
55,Nelly Furtado,2002
56,Drea de Matteo,2002
57,Bridget Moynahan,2002
58,Talisa Soto,2002
59,Gretha Cavazzoni,2002
60,Molly Sims,2002
61,Aisha Tyler,2002
62,Paula Garces,2002
63,Scarlett Johansson,2002
64,Kate Groombridge,2002
65,Chyler Leigh,2002
66,Amanda Marcum,2002
67,Josie Maran,2002
68,Erika Christensen,2002
69,Brittany Daniel,2002
70,Sarah Wynter,2002
71,Katharine Towne,2002
72,Malia Jones,2002
73,Elisabeth Rohm,2002
74,Sarah Silverman,2002
75,Melissa Sagemiller,2002
76,Pink,2002
77,Amanda Detmer,2002
78,Monica Keena,2002
79,Cindy Taylor,2002
80,Tina Fey,2002
81,Veronica Kay,2002
82,January Jones,2002
83,Jules Asner,2002
84,Elisha Cuthbert,2002
85,Julie Benz,2002
86,Sara Spraker,2002
87,Sunny Mabrey,2002
88,Monet Mazur,2002
89,Sienna Guillory,2002
90,Jennifer Gareis,2002
91,Sira Mohan,2002
92,Desiree Dymond,2002
93,Carla Campbell,2002
94,Ziyi Zhang,2002
95,Rose Byrne,2002
96,Cameron Richardson,2002
97,Kelly Brook,2002
98,Chandra West,2002
99,Claudette Ortiz,2002
100,Victoria Silvstedt,2002
1,Christina Aguilera,2003
2,Shania Twain,2003
3,Kristanna Loken,2003
4,Charlie's Angels,2003
5,Jennifer Lopez,2003
6,Gisele Bundchen,2003
7,Trista Rehn,2003
8,Shakira,2003
9,Elisha Cuthbert,2003
10,t.A.T.u.,2003
11,Jennifer Garner,2003
12,Sarah Wynter,2003
13,Christina Applegate,2003
14,Kelly Hu,2003
15,Gwen Stefani,2003
16,Kate Beckinsale,2003
17,Kate Hudson,2003
18,Pamela Anderson,2003
19,Megan Ewing,2003
20,Jessica Alba,2003
21,Ashanti,2003
22,Kelly Rowland,2003
23,Monica Bellucci,2003
24,Minki Van Der Westhuizen,2003
25,Heidi Klum,2003
26,Halle Berry,2003
27,Kelly Clarkson,2003
28,Rachel Nichols,2003
29,Rebecca Romijn,2003
30,Britney Spears,2003
31,Mya,2003
32,Brittany Murphy,2003
33,Kirsten Dunst,2003
34,Sara Foster,2003
35,Carmen Electra,2003
36,Genelle Frenoy,2003
37,Brooke Burns,2003
38,Tyra Banks,2003
39,Reese Witherspoon,2003
40,The Pussycat Dolls,2003
41,Kristin Kreuk,2003
42,Asia Argento,2003
43,Angelina Jolie,2003
44,Kylie Minogue,2003
45,Sarah Michelle Gellar,2003
46,Beyonce,2003
47,Erika Christensen,2003
48,LeAnn Rimes,2003
49,Katie Holmes,2003
50,Anne Marie Kortright,2003
51,Karen Carreno,2003
52,Denise Richards,2003
53,Natasha Malthe,2003
54,Tara Reid,2003
55,Maggie Gyllenhaal,2003
56,Salma Hayek,2003
57,Adriana Lima,2003
58,Naomi Watts,2003
59,Taryn Manning,2003
60,Jaime Pressly,2003
61,Molly Sims,2003
62,Eva Mendes,2003
63,Jessica Simpson,2003
64,Pink,2003
65,Ali Larter,2003
66,Leonor Varela,2003
67,Rachel Perry,2003
68,Paulina Rubio,2003
69,Laetitia Casta,2003
70,Yamila-Diaz Rahi,2003
71,Eve,2003
72,Bianca Kajlich,2003
73,Laura Harring,2003
74,Aisha Tyler,2003
75,Alicia Keys,2003
76,Kim Smith,2003
77,Leslie Bega,2003
78,Lisa Snowden,2003
79,Mila Kunis,2003
80,Sofia Vergara,2003
81,Nichole Robinson,2003
82,Brooke Burke,2003
83,Sarah Shahi,2003
84,Shannyn Sossamon,2003
85,Desiree Dymond,2003
86,Rosario Dawson,2003
87,Michelle Rodriguez,2003
88,Emmanuelle Vaugier,2003
89,Gabrielle Union,2003
90,Jennifer Sky,2003
91,K.D. Aubert,2003
92,Avril Lavigne,2003
93,Rachelle Weisz,2003
94,Shakara Ledard,2003
95,Jennifer Love Hewitt,2003
96,Sarah Silverman,2003
97,Jolene Blalock,2003
98,Cindy Taylor,2003
99,Norah Jones,2003
100,Malia Jones,2003
1,Jessica Simpson,2004
2,Beyonce,2004
3,Christina Aguilera,2004
4,Anna Kournikova,2004
5,Jennifer Lopez,2004
6,Mischa Barton,2004
7,Rebecca Romijn,2004
8,Paris Hilton,2004
9,Jessica Alba,2004
10,Halle Berry,2004
11,Eve,2004
12,Carmen Electra,2004
13,Scarlett Johansson,2004
14,Brittany Murphy,2004
15,Janet Jackson,2004
16,Kim Smith,2004
17,Angelina Jolie,2004
18,Keira Knightley,2004
19,Kirsten Dunst,2004
20,Michelle Branch,2004
21,Elisha Cuthbert,2004
22,Cameron Diaz,2004
23,Josie Maran,2004
24,Portia de Rossi,2004
25,Maggie Gyllenhaal,2004
26,Kate Hudson,2004
27,Nicole Richie,2004
28,Shannon Elizabeth,2004
29,Ashanti,2004
30,Sara Foster,2004
31,Jessica Biel,2004
32,Mariah Carey,2004
33,Gwen Stefani,2004
34,Uma Thurman,2004
35,Pamela Anderson,2004
36,Britney Spears,2004
37,Krista Allen,2004
38,Liv Tyler,2004
39,Amber Arbucci,2004
40,Shania Twain,2004
41,Gisele Bundchen,2004
42,Brooke Burke,2004
43,Charlize Theron,2004
44,Kate Bosworth,2004
45,Liz Phair,2004
46,Paige Butcher,2004
47,Ana Hickmann,2004
48,Kelis,2004
49,Kylie Minogue,2004
50,Amber Brkich,2004
51,Gina Gershon,2004
52,Mya,2004
53,Naomi Watts,2004
54,Shakira,2004
55,Catherine Bell,2004
56,Kelly Hu,2004
57,Anna Faris,2004
58,Rachel Bilson,2004
59,Eva Mendes,2004
60,Monet Mazur,2004
61,Rachel Perry,2004
62,Tricia Helfer,2004
63,Shannyn Sossamon,2004
64,Fergie,2004
65,Larissa Meek,2004
66,Brooke Burns,2004
67,Christina Applegate,2004
68,Rachel Hunter,2004
69,Milla Jovovich,2004
70,Monika Kramlik,2004
71,Victoria Beckham,2004
72,Cameron Richardson,2004
73,Mandy Moore,2004
74,Bianca Kajlich,2004
75,Eva Green,2004
76,Elena Lyons,2004
77,Paulina Rubio,2004
78,Vanessa Marcil,2004
79,Zooey Deschanel,2004
80,Rachel Nichols,2004
81,Daisy Fuentes,2004
82,Thalia,2004
83,Blu Cantrell,2004
84,Dido,2004
85,Maria Menounos,2004
86,Victoria Pratt,2004
87,Christina DaRe,2004
88,Lindsay Price,2004
89,Rosario Dawson,2004
90,Eva Longoria,2004
91,Melissa Howard,2004
92,Nadine Velazquez,2004
93,Giuliana DePandi,2004
94,Brody Dalle,2004
95,Tamie Sheffield,2004
96,K.D. Aubert,2004
97,Missi Pyle,2004
98,Amanda Swisten,2004
99,Tamala Jones,2004
1,Eva Longoria,2005
2,Evangeline Lilly,2005
3,Jennifer Garner,2005
4,Lindsay Lohan,2005
5,Jessica Alba,2005
6,Rachel Bilson,2005
7,Angelina Jolie,2005
8,Brittany Murphy,2005
9,Jessica Simpson,2005
10,Sara Foster,2005
11,Cameron Diaz,2005
12,Eva Mendes,2005
13,Ashanti,2005
14,Rachel McAdams,2005
15,Charlize Theron,2005
16,Christina Aguilera,2005
17,Beyonce,2005
18,Jessica Biel,2005
19,Vanessa Marcil,2005
20,Paris Hilton,2005
21,Uma Thurman,2005
22,Katie Holmes,2005
23,Kate Beckinsale,2005
24,Scarlett Johansson,2005
25,Sofia Vergara,2005
26,Sarah Michelle Gellar,2005
27,Maggie Grace,2005
28,Jaime King,2005
29,Anna Kournikova,2005
30,Christina Milian,2005
31,Brooke Burns,2005
32,Jennifer Love Hewitt,2005
33,Mischa Barton,2005
34,Salma Hayek,2005
35,Ciara,2005
36,Avril Lavigne,2005
37,Nicole Richie,2005
38,Kate Bosworth,2005
39,Shania Twain,2005
40,Pamela Anderson,2005
41,Halle Berry,2005
42,Natalie Portman,2005
43,Kelly Carlson,2005
44,Malia Jones,2005
45,Poppy Montgomery,2005
46,Ashley Scott,2005
47,Emilie de Ravin,2005
48,Sienna Miller,2005
49,Rachel Perry,2005
50,Diane Kruger,2005
51,Nikki Cox,2005
52,Cameron Richardson,2005
53,Keira Knightley,2005
54,Jordana Brewster,2005
55,Samaire Armstrong,2005
56,Lacey Chabert,2005
57,Heidi Klum,2005
58,Brittany Lee,2005
59,Angela Marcello,2005
60,Brittny Gastineau,2005
61,Olivia Wilde,2005
62,Vanessa Minnillo,2005
63,Lauren Bush,2005
64,Kim Smith,2005
65,Leila Arcieri,2005
66,Kelly Brook,2005
67,Kristin Kreuk,2005
68,Kristen Bell,2005
69,Mena Suvari,2005
70,Krista Allen,2005
71,Molly Sims,2005
72,Aisha Tyler,2005
73,Amber Brkich,2005
74,Natasia Malthe,2005
75,Catherine Bell,2005
76,Shana Hiatt,2005
77,Laura Prepon,2005
78,Joanna Krupa,2005
79,Joanne Montanez,2005
80,Rebecca Romijn,2005
81,Grace Park,2005
82,Milla Jovovich,2005
83,Tricia Helfer,2005
84,Donna Feldman,2005
85,Ana Hickmann,2005
86,Emma Heming,2005
87,Alexis Bledel,2005
88,Jennifer Aniston,2005
89,Bonnie-Jill Laflin,2005
90,Sarah Shahi,2005
91,Summer Altice,2005
92,Bali Rodriguez,2005
93,Lokelani McMichael,2005
94,Amy Cobb,2005
95,Jennie Finch,2005
96,Julie Berry,2005
97,Ivana Bozilovic,2005
98,Moon Bloodgood,2005
99,Adrianne Curry,2005
1,Eva Longoria,2006
2,Jessica Alba,2006
3,Lindsay Lohan,2006
4,Angelina Jolie,2006
5,Stacy Keibler,2006
6,Scarlett Johansson,2006
7,Cameron Diaz,2006
8,Kate Bosworth,2006
9,Keira Knightley,2006
10,Christina Milian,2006
11,Kristen Bell,2006
12,Katherine Heigl,2006
13,Kelly Monaco,2006
14,Rachel Bilson,2006
15,Vanessa Minnillo,2006
16,Christina Aguilera,2006
17,Rachel McAdams,2006
18,Jessica Simpson,2006
19,Jamie-Lynn Sigler,2006
20,Eva Green,2006
21,Mischa Barton,2006
22,Mariah Carey,2006
23,Kristin Cavallari,2006
24,Kate Moss,2006
25,Charlize Theron,2006
26,Cindy Crawford,2006
27,Eva Mendes,2006
28,Mandy Moore,2006
29,Jennifer Love Hewitt,2006
30,Uma Thurman,2006
31,Emmanuelle Vaugier,2006
32,Veronica Varekova,2006
33,Natalie Portman,2006
34,Jaime Pressly,2006
35,Avril Lavigne,2006
36,Fergie,2006
37,Emmanuelle Chriqui,2006
38,Paris Hilton,2006
39,Nadine Velazquez,2006
40,Alicia Keys,2006
41,Daniella Alonso,2006
42,Sienna Miller,2006
43,Gabrielle Union,2006
44,Kelly Ripa,2006
45,Beyonce,2006
46,Rebecca Romijn,2006
47,Mila Kunis,2006
48,Nicolette Sheridan,2006
49,Brittany Murphy,2006
50,Sarah Silverman,2006
51,Naomi Watts,2006
52,Sara Foster,2006
53,Moon Bloodgood,2006
54,Heidi Klum,2006
55,Vanessa Marcil,2006
56,Jessica Biel,2006
57,Autumn Reeser,2006
58,Joss Stone,2006
59,Jordana Brewster,2006
60,Shakira,2006
61,Joanna Krupa,2006
62,Nicky Hilton,2006
63,Kelly Carlson,2006
64,Poppy Montgomery,2006
65,Emilie de Ravin,2006
66,Sarah Shahi,2006
67,Evangeline Lilly,2006
68,Cinthia Moura,2006
69,Kelly Clarkson,2006
70,Leeann Tweeden,2006
71,Roselyn Sanchez,2006
72,Anna Kournikova,2006
73,Teri Hatcher,2006
74,Michele Merkin,2006
75,Maggie Grace,2006
76,April Scott,2006
77,Ciara,2006
78,Bree,2006
79,Halle Berry,2006
80,Rachel Nichols,2006
81,Penelope Cruz,2006
82,Vanessa Simmons,2006
83,Rachel Perry,2006
84,Amerie,2006
85,Carmen Electra,2006
86,Aubrey O'Day,2006
87,Jennifer Scholle,2006
88,Tila Tequila,2006
89,Tami,2006
90,Chilli,2006
91,Kim Smith,2006
92,Elisha Cuthbert,2006
93,Grace Park,2006
94,Brooke Burke,2006
95,Tricia Helfer,2006
96,Bridget Moynahan,2006
97,FSU Cowgirls,2006
98,Yunjin Kim,2006
99,Jennifer Aniston,2006
100,Natasha Bedingfield,2006
1,Lindsay Lohan,2007
2,Jessica Alba,2007
3,Scarlett Johansson,2007
4,Christina Aguilera,2007
5,Jessica Biel,2007
6,Ali Larter,2007
7,Eva Mendes,2007
8,Rihanna,2007
9,Eva Longoria,2007
10,Fergie,2007
11,Sienna Miller,2007
12,Angelina Jolie,2007
13,Beyonce,2007
14,Katherine Heigl,2007
15,Avril Lavigne,2007
16,Ashlee Simpson,2007
17,Maria Sharapova,2007
18,Megan Fox,2007
19,Cameron Diaz,2007
20,Keira Knightley,2007
21,Kate Beckinsale,2007
22,Nicole Scherzinger,2007
23,Hilary Duff,2007
24,Sophia Bush,2007
25,Elisha Cuthbert,2007
26,Nelly Furtado,2007
27,Kate Hudson,2007
28,Carmen Electra,2007
29,Sarah Silverman,2007
30,Rebecca Romijn,2007
31,Amy Smart,2007
32,Lacey Chabert,2007
33,Roselyn Sanchez,2007
34,Vanessa Minnillo,2007
35,Jennifer Garner,2007
36,Jaime King,2007
37,Ashley Olsen,2007
38,Shakira,2007
39,Rachel Bilson,2007
40,Moon Bloodgood,2007
41,Jessica Simpson,2007
42,Minka Kelly,2007
43,Kate Mara,2007
44,Rose McGowan,2007
45,Bar Refaeli,2007
46,Kristen Bell,2007
47,Katharine McPhee,2007
48,Mandy Moore,2007
49,Mischa Barton,2007
50,Miss Maxim,2007
51,Alessandra Ambrosio,2007
52,Kate Walsh,2007
53,Adriana Lima,2007
54,Missy Peregrym,2007
55,Halle Berry,2007
56,Michele Merkin,2007
57,Tricia Helfer,2007
58,Penelope Cruz,2007
59,Jamie-Lynn Sigler,2007
60,Jessica White,2007
61,Nadine Velazquez,2007
62,Danneel Harris,2007
63,Bianca Kajlich,2007
64,Lena Headey,2007
65,Autumn Reeser,2007
66,Joanna Krupa,2007
67,Gabrielle Union,2007
68,Evangeline Lilly,2007
69,Danica Patrick,2007
70,Stacy Keibler,2007
71,Willa Ford,2007
72,Ciara,2007
73,Mena Suvari,2007
74,Tara Conner,2007
75,April Scott,2007
76,Diora Baird,2007
77,Hilarie Burton,2007
78,Joss Stone,2007
79,Adrianne Palicki,2007
80,Abbie Cornish,2007
81,Emmanuelle Chriqui,2007
82,Dita Von Teese,2007
83,Ivanka Trump,2007
84,Hometown Hottie,2007
85,Kelly Ripa,2007
86,Michelle Trachtenberg,2007
87,Raquel Alessi,2007
88,Haylie Duff,2007
89,Salma Hayek,2007
90,Isla Fisher,2007
91,Mary Elizabeth Winstead,2007
92,Christina Milian,2007
93,Kelly Carlson,2007
94,Second Life Girl,2007
95,Shanna Moakler,2007
96,Kim Kardashian,2007
97,Yunjin Kim,2007
98,Mía Maestro,2007
99,Noureen Dewulf,2007
1,Marisa Miller,2008
2,Scarlett Johansson,2008
3,Jessica Biel,2008
4,Eva Longoria,2008
5,Sarah Michelle Gellar,2008
6,Elisha Cuthbert,2008
7,Eva Mendes,2008
8,Christina Aguilera,2008
9,Lindsay Lohan,2008
10,Ashley Tisdale,2008
11,Charlize Theron,2008
12,Vanessa Hudgens,2008
13,Hayden Panettiere,2008
14,Beyonce,2008
15,Rihanna,2008
16,Megan Fox,2008
17,The Pussycat Dolls,2008
18,Ashlee Simpson,2008
19,Britney Spears,2008
20,Jennifer Love Hewitt,2008
21,Amber Heard,2008
22,Mischa Barton,2008
23,Jaime King,2008
24,Avril Lavigne,2008
25,Hilary Duff,2008
26,Cameron Diaz,2008
27,Sienna Miller,2008
28,Rachel Bilson,2008
29,Shannon Elizabeth,2008
30,Julianne Hough,2008
31,Molly Sims,2008
32,Lake Bell,2008
33,Heidi Klum,2008
34,Jessica Alba,2008
35,Fergie,2008
36,Heidi Montag,2008
37,Ashanti,2008
38,Eliza Dushku,2008
39,Sofia Vergara,2008
40,Drew Barrymore,2008
41,Nadine Velazquez,2008
42,Zoe Saldana,2008
43,Blake Lively,2008
44,Jennifer Garner,2008
45,Danneel Harris,2008
46,Amanda Bynes,2008
47,Ashley Olsen,2008
48,Leighton Meester,2008
49,Nelly Furtado,2008
