mrank,name,year
50,Anna Paquin,2008
51,Leslie Bibb,2008
52,Mena Suvari,2008
53,Jessica Simpson,2008
54,Minka Kelly,2008
55,Kristen Bell,2008
56,Lauren Conrad,2008
57,Taylor Swift,2008
58,Rebecca Romijn,2008
59,Malin Akerman,2008
60,Taryn Manning,2008
61,Isla Fisher,2008
62,Kat Von D,2008
63,Selita Ebanks,2008
64,Diora Baird,2008
65,Karolina Kurkova,2008
66,Christina Ricci,2008
67,Sarah Mutch,2008
68,Emilie de Ravin,2008
69,Vanessa Minnillo,2008
70,Roselyn Sanchez,2008
71,Mariah Carey,2008
72,Natasha Bedingfield,2008
73,Gabrielle Union,2008
74,Audrina Patridge,2008
75,Mandy Moore,2008
76,Kate Bosworth,2008
77,Alicia Keys,2008
78,Susie Castillo,2008
79,Christina Milian,2008
80,Natalie Zea,2008
81,Mila Kunis,2008
82,Penelope Cruz,2008
83,Whitney Able,2008
84,America Ferrera,2008
85,Paz Vega,2008
86,Ashley Scott,2008
87,Dita Von Teese,2008
88,Evangeline Lilly,2008
89,Stacy Keibler,2008
90,Lacey Chabert,2008
91,Danica Patrick,2008
92,Ali Larter,2008
93,Brittany Snow,2008
94,Emma Watson,2008
95,Zooey Deschanel,2008
96,Michele Merkin,2008
97,Olivia Wilde,2008
98,Cheryl Burke,2008
99,Olivia Munn,2008
100,Tila Tequila,2008
1,Olivia Wilde,2009
2,Megan Fox,2009
3,Bar Refaeli,2009
4,Malin Akerman,2009
5,Mila Kunis,2009
6,Eliza Dushku,2009
7,Adriana Lima,2009
8,Rihanna,2009
9,Jordana Brewster,2009
10,Jennifer Love Hewitt,2009
11,Jessica Biel,2009
12,Leighton Meester,2009
13,Jessica Alba,2009
14,Christina Aguilera,2009
15,Katy Perry,2009
16,Gina Carano,2009
17,Britney Spears,2009
18,Marisa Miller,2009
19,Chan Marshall,2009
20,Moon Bloodgood,2009
21,AnnaLynne McCord,2009
22,Kate Beckinsale,2009
23,Lindsay Lohan,2009
24,Eva Mendes,2009
25,Julianne Hough,2009
26,Angelina Jolie,2009
27,Vanessa Hudgens,2009
28,Danneel Harris,2009
29,Zoe Saldana,2009
30,Penelope Cruz,2009
31,Hilary Duff,2009
32,Ciara,2009
33,Blake Lively,2009
34,Scarlett Johansson,2009
35,Anna Kournikova,2009
36,Hayden Panettiere,2009
37,Cameron Diaz,2009
38,Charlize Theron,2009
39,Anna Faris,2009
40,Lily Allen,2009
41,Nadine Velazquez,2009
42,Nikki Reed,2009
43,Elisha Cuthbert,2009
44,Avril Lavigne,2009
45,Fergie,2009
46,Nicole Scherzinger,2009
47,Katie Cassidy,2009
48,Freida Pinto,2009
49,Taylor Swift,2009
50,Sienna Miller,2009
51,Beyonce,2009
52,Kim Kardashian,2009
53,Rachel Bilson,2009
54,Christina Milian,2009
55,Amber Heard,2009
56,Audrina Patridge,2009
57,Miranda Kerr,2009
58,Ana Ivanovic,2009
59,Carrie Underwood,2009
60,Dania Ramirez,2009
61,Heidi Klum,2009
62,Milla Jovovich,2009
63,Diora Baird,2009
64,Amanda Righetti,2009
65,Emma Stone,2009
66,Emmy Rossum,2009
67,Ashley Greene,2009
68,Jennifer Morrison,2009
69,Maria Menounos,2009
70,Gabrielle Union,2009
71,Camilla Belle,2009
72,Ashley Tisdale,2009
73,Amanda Bynes,2009
74,Tricia Helfer,2009
75,Cameron Richardson,2009
76,Stacy Keibler,2009
77,Danica Patrick,2009
78,Jaime King,2009
79,Jamie Gunns,2009
80,Heidi Montag,2009
81,Emma Watson,2009
82,Whitney Port,2009
83,Minka Kelly,2009
84,Michelle Trachtenberg,2009
85,Ali Campoverdi,2009
86,Summer Glau,2009
87,Diane Kruger,2009
88,Jamie Chung,2009
89,Roselyn Sanchez,2009
90,Chelsea Handler,2009
91,Joanna Krupa,2009
92,Michelle Obama,2009
93,Yvonne Strahovski,2009
94,Padma Lakshmi,2009
95,Olivia Munn,2009
96,Marisa Tomei,2009
97,Rebecca Mader,2009
98,Melissa Rycroft,2009
99,Deanna Russo,2009
1,Katy Perry,2010
2,Brooklyn Decker,2010
3,Zoe Saldana,2010
4,Blake Lively,2010
5,Megan Fox,2010
6,Rihanna,2010
7,Elisabetta Canalis,2010
8,Olivia Munn,2010
9,Kim Kardashian,2010
10,Marisa Miller,2010
11,Eva Mendes,2010
12,Audrina Patridge,2010
13,Amber Heard,2010
14,Scarlett Johansson,2010
15,Amanda Bynes,2010
16,Selita Ebanks,2010
17,Leighton Meester,2010
18,Christina Aguilera,2010
19,Bar Refaeli,2010
20,Olivia Wilde,2010
21,Milla Jovovich,2010
22,Mila Kunis,2010
23,Arianny Celeste,2010
24,Nicole Scherzinger,2010
25,Danica Patrick,2010
26,Eliza Dushku,2010
27,Hilary Duff,2010
28,Kaley Cuoco,2010
29,Ashley Greene,2010
30,Hayden Panettiere,2010
31,Taylor Swift,2010
32,Jessica Biel,2010
33,January Jones,2010
34,Jessica Alba,2010
35,Jennifer Love Hewitt,2010
36,Rachelle Leah,2010
37,Joanna Krupa,2010
38,Angelina Jolie,2010
39,Malin Akerman,2010
40,Dania Ramirez,2010
41,Katie Cassidy,2010
42,Anna Faris,2010
43,Jordana Brewster,2010
44,Stephanie Pratt,2010
45,Julianne Hough,2010
46,Rachel Bilson,2010
47,Sofia Vergara,2010
48,Emmy Rossum,2010
49,Emma Stone,2010
50,Alice Eve,2010
51,Moon Bloodgood,2010
52,Kristen Bell,2010
53,Laura Vandervoort,2010
54,Britney Spears,2010
55,Tricia Helfer,2010
56,Ke$ha,2010
57,Gabrielle Union,2010
58,Erin Andrews,2010
59,Lindsey Vonn,2010
60,Grace Park,2010
61,Naya Rivera,2010
62,Lyndsy Fonseca,2010
63,Alessandra Ambrosio,2010
64,Camilla Belle,2010
65,Christian Serratos,2010
66,Peyton List,2010
67,AnnaLynne McCord,2010
68,Emmanuelle Chriqui,2010
69,Monica Keena,2010
70,Odette Yustman,2010
71,Dawn Olivieri,2010
72,Danneel Harris,2010
73,Zooey Deschanel,2010
74,Natalie Morales,2010
75,Lily Allen,2010
76,Kristin Cavallari,2010
77,Yvonne Strahovski,2010
78,Emma Roberts,2010
79,Rebecca Mader,2010
80,Maria Menounos,2010
81,Navi Rawat,2010
82,Stacy Keibler,2010
83,Danielle Panabaker,2010
84,Anna Paquin,2010
85,Kylie Bisutti,2010
86,Jessie James,2010
87,Chelsea Handler,2010
88,Daniela Ruah,2010
89,Kelly Brook,2010
90,Keeley Hazell,2010
91,Amber Lancaster,2010
92,Helena Mattsson,2010
93,Kara DioGuardi,2010
94,Kelly Ripa,2010
95,Kristin Gustafson,2010
96,Lea Seydoux,2010
97,iJustine,2010
98,Chanel,2010
99,Lauren Storm,2010
1,Rosie Huntington-Whiteley,2011
2,Olivia Munn,2011
3,Katy Perry,2011
4,Cameron Diaz,2011
5,Mila Kunis,2011
6,Bar Refaeli,2011
7,Anne Hathaway,2011
8,Natalie Portman,2011
9,Cobie Smulders,2011
10,Jennifer Lawrence,2011
11,Jordana Brewster,2011
12,January Jones,2011
13,Kaley Cuoco,2011
14,Scarlett Johansson,2011
15,Olivia Wilde,2011
16,Leighton Meester,2011
17,Megan Fox,2011
18,Eva Mendes,2011
19,Anna Kournikova,2011
20,Taylor Swift,2011
21,Jessica Alba,2011
22,Rihanna,2011
23,Brittany Snow,2011
24,Sarah Shahi,2011
25,Britney Spears,2011
26,Kate Middleton,2011
27,Michelle Trachtenberg,2011
28,Lea Michele,2011
29,Sofia Vergara,2011
30,Amanda Bynes,2011
31,Evan Rachel Wood,2011
32,Emmy Rossum,2011
33,Dania Ramirez,2011
34,Avril Lavigne,2011
35,Kim Kardashian,2011
36,Brooklyn Decker,2011
37,Zoe Saldana,2011
38,Lindsay Lohan,2011
39,Rebecca Mader,2011
40,Hilary Duff,2011
41,Jaimie Alexander,2011
42,Emma Stone,2011
43,Naya Rivera,2011
44,Anna Faris,2011
45,Emmanuelle Chriqui,2011
46,Beau Garrett,2011
47,Odette Annable,2011
48,Julianne Hough,2011
49,Selita Ebanks,2011
50,Nicole Scherzinger,2011
51,Minka Kelly,2011
52,Ashley Greene,2011
53,Vanessa Hudgens,2011
54,Joanna Krupa,2011
55,Christina Hendricks,2011
56,Audrina Patridge,2011
57,Christina Aguilera,2011
58,Grace Park,2011
59,Kelly Brook,2011
60,Eva Amurri,2011
61,Whitney Port,2011
62,Ana De La Reguera,2011
63,Miley Cyrus,2011
64,Elisha Cuthbert,2011
65,Aly Michalka,2011
66,Ciara,2011
67,Anna Paquin,2011
68,Emma Watson,2011
69,Arianny Celeste,2011
70,Taylor Cole,2011
71,Stacy Keibler,2011
72,Jamie Chung,2011
73,Laura Vandervoort,2011
74,Nicki Minaj,2011
75,Diora Baird,2011
76,Anna Chapman,2011
77,JWoww,2011
78,Mini Anden,2011
79,Danica McKellar,2011
80,Gabrielle Union,2011
81,Kelly Kelly,2011
82,Carly Craig,2011
83,Paz de la Huerta,2011
84,Rachelle Leah,2011
85,Autumn Reeser,2011
86,Emmanuelle Vaugier,2011
87,Daniela Ruah,2011
88,Lyndsy Fonseca,2011
89,Lauren Storm,2011
90,Erin Andrews,2011
91,Nicky Whelan,2011
92,Kelli Hutcherson,2011
93,Alessandra Toressani,2011
94,Serinda Swan,2011
95,Sophie Monk,2011
96,Hope Dworaczyk,2011
97,Camilla Belle,2011
98,Candace Bailey,2011
99,Melanie Iglesias,2011
1,Bar Refaeli,2012
2,Olivia Munn,2012
3,Mila Kunis,2012
4,Katy Perry,2012
5,Olivia Wilde,2012
6,Jennifer Lawrence,2012
7,Emma Stone,2012
8,Megan Fox,2012
9,Malin Akerman,2012
10,Adrianne Palicki,2012
11,Rosie Huntington-Whiteley,2012
12,Kate Beckinsale,2012
13,Blake Lively,2012
14,Lea Michele,2012
15,Kristen Stewart,2012
16,Charlize Theron,2012
17,Scarlett Johansson,2012
18,Katrina Bowden,2012
19,Victoria Justice,2012
20,Jennifer Love Hewitt,2012
21,Emma Watson,2012
22,Kaley Cuoco,2012
23,Anne Hathaway,2012
24,Selena Gomez,2012
25,Jessica Gomes,2012
26,Taylor Swift,2012
27,Naya Rivera,2012
28,Jessica Biel,2012
29,Eva Mendes,2012
30,Bérénice Marlohe,2012
31,Candice Swanepoel,2012
32,Rihanna,2012
33,Jessica Alba,2012
34,Elisha Cuthbert,2012
35,Yvonne Strahovski,2012
36,Sarah Shahi,2012
37,Jennifer Lopez,2012
38,Kelly Kelly,2012
39,Kate Upton,2012
40,Miranda Kerr,2012
41,Zooey Deschanel,2012
42,Brooklyn Decker,2012
43,Ashley Greene,2012
44,Lake Bell,2012
45,Zoe Saldana,2012
46,Adriana Lima,2012
47,Julianne Hough,2012
48,Brittany Snow,2012
49,Emmy Rossum,2012
50,Sarah Hyland,2012
51,Stacy Keibler,2012
52,Jordana Brewster,2012
53,Amber Heard,2012
54,Katharine McPhee,2012
55,Emma Roberts,2012
56,Lily Collins,2012
57,Lee Newton,2012
58,Arianny Celeste,2012
59,Amanda Bynes,2012
60,Shakira,2012
61,Kristen Bell,2012
62,Vanessa Hudgens,2012
63,Dawn Olivieri,2012
64,Maria Menounos,2012
65,Cobie Smulders,2012
66,Alex Morgan,2012
67,Rebecca Mader,2012
68,Miley Cyrus,2012
69,Stephen Colbert,2012
70,Michelle Dockery,2012
71,Sofia Vergara,2012
72,Kellie Pickler,2012
73,Abby Elliot,2012
74,JWoww,2012
75,Jessica Rafalowski,2012
76,Teresa Palmer,2012
77,Christina Hendricks,2012
78,Kirby Bliss Blanton,2012
79,Nicki Minaj,2012
80,Stana Katic,2012
81,Pippa Middleton,2012
82,April Rose,2012
83,Dania Ramirez,2012
84,Nina Dobrev,2012
85,Lois Griffin,2012
86,Caroline Wozniaki,2012
87,Paulina Gretzky,2012
88,Jacqueline MacInnes Wood,2012
89,Dalena Henriques,2012
90,Bria Murphy,2012
91,Claire Coffee,2012
92,Amanda Knox,2012
93,La La Anthony,2012
94,Alexandra Breckinridge,2012
95,Layla El,2012
96,Nadia G,2012
97,Kat Dennings,2012
98,Anahí,2012
99,Poppy Montgomery,2012
100,Dominique Storelli,2012
1,Miley Cyrus,2013
2,Selena Gomez,2013
3,Rihanna,2013
4,Mila Kunis,2013
5,Jennifer Lawrence,2013
6,Jennifer Love Hewitt,2013
7,Ashley Tisdale,2013
8,Kate Upton,2013
9,Vanessa Hudgens,2013
10,Elisha Cuthbert,2013
11,Katy Perry,2013
12,Kate Beckinsale,2013
13,Taylor Swift,2013
14,Beyonce,2013
15,Scarlett Johansson,2013
16,Olivia Wilde,2013
17,Jessica Alba,2013
18,Arianny Celeste,2013
19,Emma Watson,2013
20,Megan Fox,2013
21,Emma Stone,2013
22,Christina Hendricks,2013
23,Heather Graham,2013
24,Blake Lively,2013
25,Katrina Bowden,2013
26,Demi Lovato,2013
27,Danielle Fishel,2013
28,Olivia Munn,2013
29,Ronda Rousey,2013
30,Hayden Panettiere,2013
31,Charlize Theron,2013
32,Kaley Cuoco,2013
33,Sarah Shahi,2013
34,Adrianne Palicki,2013
35,Bérénice Marlohe,2013
36,Leighton Meester,2013
37,Amanda Seyfried,2013
38,Zoe Saldana,2013
39,Lea Michele,2013
40,Julianne Hough,2013
41,Malin Akerman,2013
42,Rosie Huntington-Whiteley,2013
43,Jordana Brewster,2013
44,Sarah Hyland,2013
45,Naya Rivera,2013
46,Yvonne Strahovski,2013
47,Ashley Greene,2013
48,Nina Dobrev,2013
49,Sofia Vergara,2013
50,Lake Bell,2013
51,Brittany Snow,2013
52,Bar Paly,2013
53,Shakira,2013
54,Kamala Harris,2013
55,Rachel McAdams,2013
56,Emmy Rossum,2013
57,Eva Mendes,2013
58,Amber Heard,2013
59,Brooklyn Decker,2013
60,Stana Katic,2013
61,Emily VanCamp,2013
62,Cameron Diaz,2013
63,Stacy Keibler,2013
64,Candice Swanepoel,2013
65,Emilia Clarke,2013
66,Joanna Krupa,2013
67,Brittney Palmer,2013
68,Anne V,2013
69,Manti Te'o's Fake Girlfriend,2013
70,Nina Agdal,2013
71,Sara Underwood,2013
72,Jessica Chastain,2013
73,Katharine McPhee,2013
74,Rachel Bilson,2013
75,Natalie Martinez,2013
76,Emma Roberts,2013
77,Janina Gavankar,2013
78,Ke$ha,2013
79,Hoda Kotb,2013
80,Jamie Chung,2013
81,Maggie Grace,2013
82,Ashley Benson,2013
83,Kat Dennings,2013
84,Alice Eve,2013
85,Aubrey Plaza,2013
86,Rocsi Diaz,2013
87,Katie Cassidy,2013
88,Elisabeth Harnois,2013
89,April Rose,2013
90,Leven Rambin,2013
91,Allison Williams,2013
92,Kenda Perez,2013
93,Lynsi Torres,2013
94,Dawn Olivieri,2013
95,Zooey Deschanel,2013
96,Kellie Pickler,2013
97,Daniella Alonso,2013
98,Rebecca Mader,2013
99,Ashley Sky,2013
100,Dessie Mitcheson,2013
1,Candice Swanepoel,2014
2,Scarlett Johansson,2014
3,Katy Perry,2014
4,Irina Shayk,2014
5,Jennifer Lawrence,2014
6,Zooey Deschanel,2014
7,Alessandra Ambrosio,2014
8,Jessica Alba,2014
9,Mila Kunis,2014
10,Cara Delevigne,2014
11,Rihanna,2014
12,Kate Upton,2014
13,Eva Longoria,2014
14,Olivia Wilde,2014
15,Christina Aguilera,2014
16,Brooklyn Decker,2014
17,Laura Vandervoort,2014
18,Samantha Hoopes,2014
19,Selena Gomez,2014
20,Kaley Cuoco,2014
21,Beyonce,2014
22,Margot Robbie,2014
23,Miranda Kerr,2014
24,Charlize Theron,2014
25,Miley Cyrus,2014
26,Hayden Panettiere,2014
27,Emma Stone,2014
28,Vanessa Hudgens,2014
29,Zoe Saldana,2014
30,Sophia Bush,2014
31,Lea Michele,2014
32,Lake Bell,2014
33,Ashley Tisdale,2014
34,Alyssa Milano,2014
35,Jennifer Love Hewitt,2014
36,Jennifer Lopez,2014
37,Nina Agdal,2014
38,Shakira,2014
39,Gina Carano,2014
40,Demi Lovato,2014
41,Lauren Cohan,2014
42,Ronda Rousey,2014
43,Kate Beckinsale,2014
44,Avril Lavigne,2014
45,Lacey Chabert,2014
46,Kellie Pickler,2014
47,Kendall Jenner,2014
48,Paula Patton,2014
49,Emilia Clarke,2014
50,Stana Katic,2014
51,Emily VanCamp,2014
52,Jordana Brewster,2014
53,Nina Dobrev,2014
54,Sofia Vergara,2014
55,Lily Aldridge,2014
56,Carrie Underwood,2014
57,Morena Baccarin,2014
58,Miesha Tate,2014
59,Arianny Celeste,2014
60,Sarah Dumont,2014
61,Amber Heard,2014
62,Emily Ratajkowski,2014
63,Summer Glau,2014
64,Melissa Rauch,2014
65,Kerry Washington,2014
66,Bar Paly,2014
67,Sarah Shahi,2014
68,Dylan Penn,2014
69,Danielle Fishel,2014
70,Kacey Musgraves,2014
71,Hannah Davis,2014
72,Liz Hernandez,2014
73,Jill Wagner,2014
74,Rocsi Diaz,2014
75,Jaimie Alexander,2014
76,Allison Williams,2014
77,Anna Paquin,2014
78,Ana Ivanovic,2014
79,Alexandra Daddario,2014
80,Gabrielle Union,2014
81,Lana Del Rey,2014
82,Eva Marie,2014
83,Gal Gadot,2014
84,Lisalla Montenegro,2014
85,Victoria Justice,2014
86,Sage Erickson,2014
87,A.J. Cook,2014
88,Joanna Krupa,2014
89,Ireland Baldwin,2014
90,Taylor Momsen,2014
91,Rebecca Mader,2014
92,Noureen DeWulf,2014
93,Jessica Parker Kennedy,2014
94,Lydia Hearst,2014
95,Iggy Azalea,2014
96,Lili Simmons,2014
97,Beth Ostrosky Stern,2014
98,Caity Lotz,2014
99,Rebecca Garcia,2014
1,Taylor Swift,2015
2,Emily Ratajkowski,2015
3,Selena Gomez,2015
4,Emma Watson,2015
5,Adriana Lima,2015
6,Miley Cyrus,2015
7,Candice Swanepoel,2015
8,Sara Sampaio,2015
9,Jessica Alba,2015
10,Katy Perry,2015
11,Mila Kunis,2015
12,Scarlett Johansson,2015
13,Jennifer Lawrence,2015
14,Nina Dobrev,2015
15,Kate Upton,2015
16,Emma Stone,2015
17,Margott Robbie,2015
18,Shay Mitchell,2015
19,Kristin Kreuk,2015
20,Miranda Kerr,2015
21,Amber Heard,2015
22,Alessandra Ambrosio,2015
23,Irina Shayk,2015
24,Ariana Grande,2015
25,Ashley Benson,2015
26,Elsa Hosk,2015
27,Victoria Justice,2015
28,Lana Del Rey,2015
29,Amanda Seyfried,2015
30,Lucy Hale,2015
31,Rihanna,2015
32,Kendall Jenner,2015
33,Vanessa Hudgens,2015
34,Rosie Huntington-Whiteley,2015
35,Rachel McAdams,2015
36,Alice Eve,2015
37,Angelina Jolie,2015
38,Emilia Clarke,2015
39,Doutzen Kroes,2015
40,Beyoncé,2015
41,Lily Aldridge,2015
42,Dakota Johnson,2015
43,Dianna Agron,2015
44,Jourdan Dunn,2015
45,Eva Mendes,2015
46,Behati Prinsloo,2015
47,Shailen Woodley,2015
48,Natalie Dormer,2015
49,Alexandra Daddario,2015
50,Zooey Deschanel,2015
51,Lily Collins,2015
52,Phoebe Tonkin,2015
53,Nicole Beharie,2015
54,Carrie Underwood,2015
55,Iggy Azalea,2015
56,Emmy Rossum,2015
57,Willa Holland,2015
58,Anastacia Ashley,2015
59,Emma Roberts,2015
60,Joan Smalls,2015
61,Candice Patton,2015
62,Kate Mara,2015
63,Evangeline Lilly,2015
64,Gal Gadot,2015
65,Bregje Heinen,2015
66,Alison Brie,2015
67,Rosamund Pike,2015
68,Hayley Williams,2015
69,Maggie Grace,2015
70,Felicity Jones,2015
71,Jamie Chung,2015
72,Silje Norendal,2015
73,Gisele Bundchen,2015
74,Elizabeth Olsen,2015
75,Charlie XCX,2015
76,Emily DiDonato,2015
77,Kaya Scodelario,2015
78,Jasmine Sanders,2015
79,Rita Ora,2015
80,Isabeli Fontana,2015
81,Lupita Nyong'o,2015
82,Tatiana Maslany,2015
83,Lizzy Caplan,2015
84,Kacey Musgraves,2015
85,Lily James,2015
86,Nathalie Emmanuel,2015
87,Léa Seydoux,2015
88,Gugu Mbatha-Raw,2015
89,Suki Waterhouse,2015
90,Britt Robertson,2015
91,Imogen Poots,2015
92,Lara Stone,2015
93,Andreea Diaconu,2015
94,Isabel Lucas,2015
95,Camille Rowe,2015
96,Alicia Vikander,2015
97,FKA Twigs,2015
98,Abbey Lee,2015
99,Jessica Hart,2015
100,Teresa Palmer,2015
51,Candice Swanepoel,2016
3,Margot Robbie,2016
88,Jessica Alba,2016
89,Selena Gomez,2016
57,Kate Upton,2016
34,Scarlett Johansson,2016
85,Nina Agdal,2016
33,Lily Aldridge,2016
62,Mila Kunis,2016
76,Shay Mitchell,2016
14,Adriana Lima,2016
91,Olivia Munn,2016
83,Alexandra Daddario,2016
69,Amber Heard,2016
56,Miranda Kerr,2016
100,Olivia Wilde,2016
4,Barbara Palvin,2016
36,Rosie Huntington-Whiteley,2016
70,Charlotte McKinney,2016
29,Hannah Davis,2016
46,Marloes Horst,2016
41,Lindsay Ellingson,2016
66,Behati Prinsloo,2016
96,Kendall,2016
81,Kaley Cuoco,2016
27,Bar Refaeli,2016
28,Karlie Kloss,2016
84,Gal Gadot,2016
44,Martha Hunt,2016
67,Josephine Skriver,2016
2,Irina Shayk,2016
64,Penélope Cruz,2016
99,Sofía Vergara,2016
22,Erin Heatherton,2016
48,Doutzen Kroes,2016
49,Emily DiDonato,2016
5,Alessandra Ambrosio,2016
54,Izabel Goulart,2016
31,Sandra Kubicka,2016
16,Gigi Hadid,2016
15,Alyssa Miller,2016
74,Taylor Swift,2016
78,Eva Longoria,2016
1,Stella Maxwell,2016
63,Ana Beatriz Barros,2016
25,Sara Sampaio,2016
42,Taylor Hill,2016
68,Beyoncé Knowles,2016
18,Hailey Clauson,2016
43,Gisele Bündchen,2016
77,Olivia Culpo,2016
21,Karolína Kurková,2016
40,Isabeli Fontana,2016
60,Camille Rowe,2016
95,Zoe Saldana,2016
55,Elsa Hosk,2016
75,Bojana Krsmanovic,2016
65,Hilary Rhoda,2016
10,Cara Delevingne,2016
53,Emmy Rossum,2016
79,Priyanka Chopra,2016
9,Devon Windsor,2016
17,Anna Ewers,2016
92,Natasha Poly,2016
58,Lana Del Rey,2016
32,Cameron Russell,2016
23,Rihanna,2016
90,Demi Lovato,2016
72,Edita Vilkeviciute,2016
98,Lais Ribeiro,2016
86,Ashley Graham,2016
71,Magdalena Frackowiak,2016
97,Toni Garrn,2016
61,Aline Weber,2016
30,Karmen Pedaru,2016
8,Ciara,2016
19,Daniela Braga,2016
24,Hailey Baldwin,2016
59,Jasmine Sanders,2016
73,Bella Hadid,2016
12,Lindsey Wixson,2016
38,Kate Grigorieva,2016
93,Liya Kebede,2016
94,Rita Ora,2016
47,Joan Smalls,2016
11,Constance Jablonski,2016
52,Anja Rubik,2016
13,Ming Xi,2016
50,Jourdan Dunn,2016
80,Cindy Bruna,2016
35,Chanel Iman,2016
26,Jessica Hart,2016
7,Georgia May Jagger,2016
82,Sasha Luss,2016
37,Lily Donaldson,2016
87,Lara Stone,2016
6,Sasha Pivovarova,2016
39,Liu Wen,2016
